 format: day,hour,forecast,value  location:60_127 Start : 20250701 
 22,1400,+7,25.000000 
 22,1400,+8,26.000000 
 22,1400,+9,27.000000 
 22,1700,+6,25.000000 
 22,1700,+7,25.000000 
 22,1700,+8,26.000000 
 22,1700,+9,27.000000 
 22,2000,+6,25.000000 
 22,2000,+7,26.000000 
 22,2000,+8,27.000000 
 22,2300,+6,25.000000 
 22,2300,+7,26.000000 
 22,2300,+8,27.000000 
 Start : 20250723 
 23,0200,+6,25.000000 
 23,0200,+7,26.000000 
 23,0200,+8,27.000000 
 23,0500,+6,25.000000 
 23,0500,+7,26.000000 
 23,0500,+8,27.000000 
 23,0800,+6,26.000000 
 23,0800,+7,27.000000 
 23,0800,+8,28.000000 
 23,0800,+9,28.000000 
 23,1100,+6,26.000000 
 23,1100,+7,27.000000 
 23,1100,+8,28.000000 
 23,1100,+9,28.000000 
 23,1400,+6,26.000000 
 23,1400,+7,27.000000 
 23,1400,+8,28.000000 
 23,1400,+9,28.000000 
 23,1700,+6,26.000000 
 23,1700,+7,27.000000 
 23,1700,+8,28.000000 
 23,1700,+9,28.000000 
 23,2000,+6,27.000000 
 23,2000,+7,28.000000 
 23,2000,+8,28.000000 
 23,2300,+6,27.000000 
 23,2300,+7,28.000000 
 23,2300,+8,28.000000 
 Start : 20250724 
 24,0200,+6,27.000000 
 24,0200,+7,28.000000 
 24,0200,+8,28.000000 
 24,0500,+6,27.000000 
 24,0500,+7,28.000000 
 24,0500,+8,28.000000 
 24,0800,+6,27.000000 
 24,0800,+7,28.000000 
 24,0800,+8,28.000000 
 24,0800,+9,27.000000 
 24,1100,+6,27.000000 
 24,1100,+7,28.000000 
 24,1100,+8,28.000000 
 24,1100,+9,27.000000 
 24,1400,+6,27.000000 
 24,1400,+7,28.000000 
 24,1400,+8,28.000000 
 24,1400,+9,27.000000 
 24,1700,+6,27.000000 
 24,1700,+7,28.000000 
 24,1700,+8,28.000000 
 24,1700,+9,27.000000 
 24,2000,+6,28.000000 
 24,2000,+7,28.000000 
 24,2000,+8,27.000000 
 24,2300,+6,28.000000 
 24,2300,+7,28.000000 
 24,2300,+8,27.000000 
 Start : 20250725 
 25,0200,+6,28.000000 
 25,0200,+7,28.000000 
 25,0200,+8,27.000000 
 25,0500,+6,28.000000 
 25,0500,+7,28.000000 
 25,0500,+8,27.000000 
 25,0800,+6,28.000000 
 25,0800,+7,28.000000 
 25,0800,+8,27.000000 
 25,0800,+9,27.000000 
 25,1100,+6,28.000000 
 25,1100,+7,28.000000 
 25,1100,+8,27.000000 
 25,1100,+9,27.000000 
 25,1400,+6,28.000000 
 25,1400,+7,28.000000 
 25,1400,+8,27.000000 
 25,1400,+9,27.000000 
 25,1700,+6,28.000000 
 25,1700,+7,28.000000 
 25,1700,+8,27.000000 
 25,1700,+9,27.000000 
 25,2000,+6,28.000000 
 25,2000,+7,27.000000 
 25,2000,+8,27.000000 
 25,2300,+6,28.000000 
 25,2300,+7,27.000000 
 25,2300,+8,27.000000 
 Start : 20250726 
 26,0200,+6,28.000000 
 26,0200,+7,27.000000 
 26,0200,+8,27.000000 
 26,0500,+6,28.000000 
 26,0500,+7,27.000000 
 26,0500,+8,27.000000 
 26,0800,+6,28.000000 
 26,0800,+7,27.000000 
 26,0800,+8,27.000000 
 26,0800,+9,25.000000 
 26,1100,+6,28.000000 
 26,1100,+7,27.000000 
 26,1100,+8,27.000000 
 26,1100,+9,25.000000 
 26,1400,+6,28.000000 
 26,1400,+7,27.000000 
 26,1400,+8,27.000000 
 26,1400,+9,25.000000 
 26,1700,+6,28.000000 
 26,1700,+7,27.000000 
 26,1700,+8,27.000000 
 26,1700,+9,25.000000 
 26,2000,+6,28.000000 
 26,2000,+7,27.000000 
 26,2000,+8,27.000000 
 26,2300,+6,28.000000 
 26,2300,+7,27.000000 
 26,2300,+8,27.000000 
 Start : 20250727 
 27,0200,+6,28.000000 
 27,0200,+7,27.000000 
 27,0200,+8,27.000000 
 27,0500,+6,28.000000 
 27,0500,+7,27.000000 
 27,0500,+8,27.000000 
 27,0800,+6,28.000000 
 27,0800,+7,27.000000 
 27,0800,+8,27.000000 
 27,0800,+9,27.000000 
 27,1100,+6,28.000000 
 27,1100,+7,27.000000 
 27,1100,+8,27.000000 
 27,1100,+9,27.000000 
 27,1400,+6,28.000000 
 27,1400,+7,27.000000 
 27,1400,+8,27.000000 
 27,1400,+9,27.000000 
 27,1700,+6,28.000000 
 27,1700,+7,27.000000 
 27,1700,+8,27.000000 
 27,1700,+9,27.000000 
 27,2000,+6,27.000000 
 27,2000,+7,27.000000 
 27,2000,+8,27.000000 
 27,2300,+6,27.000000 
 27,2300,+7,27.000000 
 27,2300,+8,27.000000 
 Start : 20250728
